ds_cargo;nr_turno;sg_uf;qt_secoes_agregadas;qt_votos_brancos;qt_votos_nulos;qt_votos_validos;dt_carga
Senador;1;DF;235;119075;99697;1576967;2022-10-06 17:26:33
Senador;1;ES;381;180346;173933;1957350;2022-10-06 17:26:33
Senador;1;GO;782;310369;332630;3164192;2022-10-06 17:26:33
Senador;1;MA;3070;201383;310469;3406360;2022-10-06 17:26:33
Senador;1;MG;2503;1044998;1304104;10279676;2022-10-06 17:26:33
Senador;1;MS;237;91077;98932;1360544;2022-10-06 17:26:33
Senador;1;MT;801;134009;145755;1298767;2022-10-06 17:26:33
Senador;1;PA;1472;252828;345083;4186083;2022-10-06 17:26:33
Senador;1;PB;134;235063;313018;1571165;2022-10-06 17:26:33
Senador;1;PE;850;557609;705260;4468754;2022-10-06 17:26:33
Senador;1;PI;1700;88433;151530;1874043;2022-10-06 17:26:33
Senador;1;PR;154;478670;506442;5827174;2022-10-06 17:26:33
Senador;1;RJ;2482;752864;972167;6594041;2022-10-06 17:26:33
Senador;1;RN;331;154485;239728;1692509;2022-10-06 17:26:33
Senador;1;RO;593;49421;56624;756418;2022-10-06 17:26:33
Senador;1;RR;119;10203;12782;255780;2022-10-06 17:26:33
Senador;1;RS;228;527127;396256;5879460;2022-10-06 17:26:33
Senador;1;SC;562;380138;358287;3730254;2022-10-06 17:26:33
Senador;1;SE;343;107308;169033;1086263;2022-10-06 17:26:33
Senador;1;SP;555;2548612;3029752;21556203;2022-10-06 17:26:33
Senador;1;TO;131;35690;69690;783612;2022-10-06 17:26:33
